 Nome ; Preço 
" Notebook Gamer Acer Nitro 5 Intel Core i5-12450H, 8GB RAM, GeForce RTX 3050, SSD 512GB, 15.6"" Full HD, Windows 11 "; R$ 4.299,99 
" Notebook Gamer GIGABYTE G5 Intel Core i5-12500H, 16GB RAM, GeForce RTX 4060, SSD 512GB, 15.6"" Full HD, FreeDOS "; R$ 5.999,99 
" Notebook Samsung Galaxy Book2 Intel Core i5-1235U, 8GB RAM, SSD 256GB, 15.6"" Full HD, Windows 11 Home "; R$ 2.499,99 
" Notebook Gamer Acer Nitro V 15 Intel Core i5-13420H, 8GB RAM, GeForce RTX 3050, SSD 512GB, 15.6"" Full HD, Linux "; R$ 4.499,99 
" Notebook Gamer Dell G15-i1300-M30P 15.6"" FHD, Intel Core i5-13450HX, 8GB RAM, SSD 512GB, NVIDIA GeForce RTX 3050 "; R$ 4.999,99 
" Notebook Gamer Legion Slim 5i, Intel Core i5-13420H, 16GB RAM, RTX 4050, SSD 512GB, 16"" WUXGA, Windows 11 "; R$ 7.099,99 
" Notebook Gamer Dell G15-i1300-A20P com NVIDIA GeForce RTX 3050, Intel Core i5-13450HX, 8GB RAM, SSD 512GB, 15.6"" "; R$ 4.599,99 
" Notebook Gamer Acer Nitro V 15 Intel Core i5-13420H, 16GB RAM, GeForce RTX 3050, SSD 512GB, 15.6"" Full HD, Windows 11 "; R$ 4.799,99 
" Notebook Vaio FE15, Intel Core i5-1235U, 8GB RAM, SSD 256GB, 15.6"" Full HD, Windows 11 Home "; R$ 2.399,99 
" Notebook Samsung Galaxy Book3 Intel Core i5-1335U, 8GB RAM, SSD 256GB, 15.6"" Full HD, Windows 11 Home "; R$ 2.799,99 
" Notebook Gamer Lenovo LOQ, Intel Core i5-12450H, 8GB RAM, GeForce RTX 2050, SSD 512GB, 15.6"" Full HD, Windows 11 "; R$ 3.899,99 
" Notebook Samsung Galaxy Book2 Intel Core i7-1255U, 16GB RAM, SSD 512GB, 15.6"" Full HD, Windows 11 Home "; R$ 3.499,99 
" Notebook Acer Aspire 5 Intel Core i5-12450H, 8GB RAM, SSD 512GB, 15.6"" Full HD, Windows 11 Home "; R$ 2.799,99 
" Notebook Gamer Lenovo LOQ AMD Ryzen 7 7840HS, 16GB RAM, GeForce RTX 4050, SSD 512GB, 15.6"" WQHD, Windows 11 "; R$ 6.999,99 
" Notebook Ultra UB433 Intel Core i3, 4GB RAM, SSD 120GB, 14.1"" HD, Windows 11 "; R$ 1.169,99 
" Notebook ASUS Vivobook 15, Intel Core i5-1235U, 8GB RAM, SSD 256GB, 15,6"" Full HD, Windows 11 "; R$ 2.499,99 
" Notebook Lenovo Ultrafino IdeaPad 1, AMD Ryzen 5 7520U, 8GB RAM, SSD 256GB, 15.6"" HD, Windows 11 "; R$ 2.099,99 
" Notebook Lenovo Ultrafino IdeaPad 3, Intel Core i5-1135G7, 8GB RAM, SSD 256GB, 15.6"" Full HD, Windows 11 "; R$ 2.399,99 
" Macbook Air 13.3"", Chip M1, 8GB RAM, SSD 256GB, Cinza-espacial "; R$ 5.499,99 
" Notebook Ultra UB235 Intel Celeron, 4GB RAM, eMMC 128GB, 14,1"" HD, Windows 11 Home "; R$ 999,99 
